question;answer_a;answer_b;answer_c;answer_d;correct;category;explanation;difficulty
Welches dieser Woerter ist ein Pronomen?;ich;laufen;schnell;Haus;0;Sprache Extra;Ich ist ein Pronomen.;2
Was trennt in der Schrift oft zwei Teilsaetze?;Komma;Anfuehrungszeichen;Bindestrich;Klammeraffe;0;Sprache Extra;Teilsaetze werden oft durch Komma getrennt.;2
Welches Wort ist ein Nomen?;Freude;laufen;schoen;wenn;0;Sprache Extra;Freude ist ein Nomen.;2
Wie nennt man die Grundform eines Verbs?;Perfekt;Infinitiv;Plural;Kasus;1;Sprache Extra;Die Grundform eines Verbs ist der Infinitiv.;3
Welche dieser Schreibweisen ist richtig?;naemlich;nämlich;naemhlich;nemlich;1;Sprache Extra;Naemlich wird korrekt nämlich geschrieben.;3
Was ist ein Synonym zu schnell?;rasch;dunkel;laut;weich;0;Sprache Extra;Rasch ist ein Synonym zu schnell.;2
Welches Wort ist eine Praeposition?;unter;Hund;lachen;gruener;0;Sprache Extra;Unter ist eine Praeposition.;2
Wie nennt man ein Wort fuer eine Person, einen Ort oder eine Sache?;Nomen;Verb;Adjektiv;Zahlwort;0;Sprache Extra;Nomen benennen Personen, Orte oder Dinge.;1
Welches Satzzeichen steht oft nach einer direkten Rede am Anfang?;Ausrufezeichen;Anfuehrungszeichen;Semikolon;Schraegstrich;1;Sprache Extra;Direkte Rede wird oft mit Anfuehrungszeichen markiert.;2
Wie viele Wochentage hat eine Woche?;5;6;7;8;2;Kinder Extra;Eine Woche hat sieben Tage.;1
Welche Farbe entsteht aus Rot und Blau?;Gruen;Orange;Lila;Gelb;2;Kinder Extra;Rot und Blau ergeben Lila.;2
Welches Tier sagt Wau?;Katze;Hund;Kuh;Pferd;1;Kinder Extra;Ein Hund wird mit Wau verbunden.;1
Was benutzt man zum Zähneputzen?;Gabel;Zahnbuerste;Schraubenzieher;Kamm;1;Kinder Extra;Mit einer Zahnbuerste putzt man Zaehne.;1
Welche Jahreszeit ist meist am waermsten?;Winter;Herbst;Sommer;Fruehling;2;Kinder Extra;Der Sommer ist meist die waermste Jahreszeit.;1
Welche Farbe haben Bananen oft?;Blau;Gelb;Lila;Schwarz;1;Kinder Extra;Bananen sind oft gelb.;1
Womit schneidet man Papier?;Loeffel;Schere;Kissen;Lineal;1;Kinder Extra;Mit einer Schere schneidet man Papier.;1
Welches Tier lebt im Meer?;Delfin;Huhn;Katze;Schaf;0;Kinder Extra;Ein Delfin lebt im Meer.;1
Wie viele Finger hat eine Hand normalerweise?;3;4;5;6;2;Kinder Extra;Eine Hand hat normalerweise fünf Finger.;1
Was braucht man bei Regen draussen oft?;Sonnencreme;Regenschirm;Schlittschuhe;Skier;1;Kinder Extra;Ein Regenschirm schuetzt vor Regen.;1
Welche Form hat ein Rad?;Quadratisch;Rund;Dreieckig;Sternfoermig;1;Kinder Extra;Ein Rad ist rund.;1
Welches Tier legt Honig nicht, hilft aber bei seiner Entstehung?;Biene;Igel;Fuchs;Pferd;0;Kinder Extra;Bienen sammeln Nektar fuer Honig.;2
Welche Farbe hat Gras meistens?;Gruen;Rot;Schwarz;Pink;0;Kinder Extra;Gras ist meist gruen.;1
Wie nennt man das Haus eines Hundes?;Nest;Stall;Hundehuette;Teich;2;Kinder Extra;Eine Hundehuette ist ein Haus fuer Hunde.;1
Welcher Tag kommt nach Freitag?;Sonntag;Samstag;Montag;Donnerstag;1;Kinder Extra;Nach Freitag kommt Samstag.;1
Womit malt man oft bunte Bilder?;Malkreide;Gabel;Topf;Schraube;0;Kinder Extra;Mit Malkreide oder Stiften malt man Bilder.;1
Welches Tier hat Fluegel und kann oft fliegen?;Vogel;Wurm;Fisch;Maus;0;Kinder Extra;Viele Voegel koennen fliegen.;1
Was ist kalt und faellt manchmal im Winter vom Himmel?;Sand;Laub;Schnee;Reis;2;Kinder Extra;Im Winter kann Schnee fallen.;1
Was macht man mit einem Buch?;lesen;werfen;kochen;gießen;0;Kinder Extra;Ein Buch liest man.;1
Welche Farbe hat der Himmel bei gutem Wetter oft?;Blau;Gruen;Braun;Orange;0;Kinder Extra;Bei gutem Wetter erscheint der Himmel oft blau.;1
Welches Organ braucht man zum Sehen?;Ohr;Auge;Nase;Arm;1;Alltag;Mit den Augen sieht man.;1
Womit bezahlt man im Laden?;Mit Geld;Mit Kreide;Mit Sand;Mit Gras;0;Alltag;Im Laden bezahlt man mit Geld oder Karte.;1
Was benutzt man zum Schreiben auf Papier?;Stift;Topf;Teller;Schuh;0;Alltag;Mit einem Stift schreibt man.;1
Wofuer nutzt man eine Lampe?;Zum Kuehlen;Zum Beleuchten;Zum Waschen;Zum Drucken;1;Alltag;Eine Lampe spendet Licht.;1
Was macht ein Wecker am Morgen?;Er kocht Kaffee;Er klingelt;Er fliegt;Er waescht Geschirr;1;Alltag;Ein Wecker klingelt zur eingestellten Zeit.;1
Womit oeffnet man oft eine Tuer?;Mit einem Schluessel;Mit einem Teller;Mit einem Buch;Mit Kreide;0;Alltag;Viele Tueren oeffnet man mit einem Schluessel.;1
Was zieht man an die Fuße?;Handschuhe;Socken;Muetze;Brille;1;Alltag;Socken trägt man an den Füßen.;1
Womit waescht man sich die Haare?;Shampoo;Kreide;Zement;Kleber;0;Alltag;Haare waescht man mit Shampoo.;1
Wo kocht man Essen?;Im Keller;In der Kueche;Im Gartenhaus;Im Aufzug;1;Alltag;Gekocht wird normalerweise in der Kueche.;1
Was braucht ein Fahrrad zum Rollen?;Wasser;Räder;Vorhänge;Bettdecken;1;Alltag;Ein Fahrrad rollt auf Rädern.;1
Wofuer nutzt man einen Muelleimer?;Zum Schlafen;Zum Wegwerfen von Abfall;Zum Trocknen von Kleidung;Zum Heizen;1;Alltag;Abfall wirft man in den Muelleimer.;1
Was macht man mit einer Zahnpasta?;Man putzt Zaehne;Man lackiert Wände;Man waescht Fenster;Man klebt Papier;0;Alltag;Zahnpasta benutzt man beim Zähneputzen.;1
Womit schaut man oft fern?;Fernseher;Toaster;Mixer;Loeffel;0;Alltag;Fernsehen schaut man auf einem Fernseher.;1
Wo schläft man meistens?;Im Bett;Im Waschbecken;Im Auto;Im Regal;0;Alltag;Zum Schlafen benutzt man meist ein Bett.;1
Womit wischt man einen nassen Boden?;Besen;Mopp;Gabel;Kissen;1;Alltag;Einen nassen Boden wischt man oft mit einem Mopp.;2
Womit schneidet man Brot?;Hammer;Messer;Klebeband;Buerste;1;Alltag;Brot schneidet man mit einem Messer.;1
Wozu dient ein Rucksack?;Zum Trinken;Zum Transport von Dingen;Zum Schlafen;Zum Heizen;1;Alltag;In einem Rucksack transportiert man Dinge.;1
Was stellt man oft auf einen Tisch?;Geschirr;Schuhe an die Wand;Fenster im Dach;Fahrräder an die Decke;0;Alltag;Auf einen Tisch stellt man oft Geschirr oder Gegenstände.;1
Wozu dient ein Kalender?;Zum Kühlen;Zum Planen von Tagen und Terminen;Zum Streichen;Zum Backen;1;Alltag;Ein Kalender hilft bei der Terminplanung.;2
Was macht man mit einer Waschmaschine?;Musik hören;Kleidung waschen;Bilder malen;Brot backen;1;Alltag;Kleidung wird in einer Waschmaschine gewaschen.;1
Wer schrieb Wilhelm Tell?;Goethe;Schiller;Kafka;Lessing;1;Literatur & Kultur;Wilhelm Tell stammt von Friedrich Schiller.;4
Welche Kunstrichtung ist Salvador Dali besonders zugeordnet?;Impressionismus;Surrealismus;Barock;Jugendstil;1;Literatur & Kultur;Dali gilt als wichtiger Vertreter des Surrealismus.;4
Wie heisst der Maler der Mona Lisa?;Michelangelo;Leonardo da Vinci;Raphael;Donatello;1;Literatur & Kultur;Die Mona Lisa wird Leonardo da Vinci zugeschrieben.;3
Welche Stadt ist fuer das Kolosseum bekannt?;Athen;Rom;Paris;Wien;1;Literatur & Kultur;Das Kolosseum steht in Rom.;2
Wer schrieb Die Physiker?;Max Frisch;Friedrich Dürrenmatt;Thomas Mann;Brecht;1;Literatur & Kultur;Die Physiker ist ein Stück von Friedrich Dürrenmatt.;4
Wie heißt das berühmte Museum mit der Glaspyramide in Paris?;Uffizien;Louvre;Prado;Rijksmuseum;1;Literatur & Kultur;Der Louvre hat die bekannte Glaspyramide.;3
Welcher Komponist war taub und schrieb trotzdem bedeutende Werke?;Mozart;Beethoven;Haydn;Vivaldi;1;Literatur & Kultur;Beethoven komponierte trotz seiner Hörprobleme.;3
Welche Kunstform nutzt Bühne, Schauspiel und Publikum?;Oper;Theater;Roman;Gemälde;1;Literatur & Kultur;Theater findet auf einer Bühne vor Publikum statt.;2
Wer schrieb Die Leiden des jungen Werther?;Goethe;Hesse;Kafka;Böll;0;Literatur & Kultur;Das Werk stammt von Goethe.;4
Welche Sprache wurde im antiken Rom gesprochen?;Griechisch;Latein;Hebräisch;Gotisch;1;Literatur & Kultur;Im antiken Rom war Latein die wichtigste Sprache.;3
Wie nennt man eine Sammlung von Gedichten?;Atlas;Lyrikband;Katalog;Anhang;1;Literatur & Kultur;Ein Lyrikband sammelt Gedichte.;3
Welche Epoche ist für Ritter und Burgen bekannt?;Mittelalter;Antike;Neuzeit;Aufklärung;0;Literatur & Kultur;Ritter und Burgen verbindet man mit dem Mittelalter.;2
Wer schuf die Statue David in Florenz?;Michelangelo;Picasso;Rodin;Matisse;0;Literatur & Kultur;Der berühmte David stammt von Michelangelo.;4
Wie nennt man ein Werk fuer ein großes Orchester und Solisten mit Gesang über religiöse Themen?;Konzert;Oratorium;Walzer;Etüde;1;Literatur & Kultur;Ein Oratorium ist ein großes vokales Werk.;5
Welche Stadt ist für das Brandenburger Tor bekannt?;München;Berlin;Hamburg;Köln;1;Literatur & Kultur;Das Brandenburger Tor steht in Berlin.;1
Wer schrieb Der Prozess?;Kafka;Mann;Brecht;Zweig;0;Literatur & Kultur;Der Prozess ist von Franz Kafka.;4
Welche Stilrichtung zeigt oft starke Licht-Schatten-Kontraste im 17. Jahrhundert?;Barock;Bauhaus;Klassik;Pop-Art;0;Literatur & Kultur;Der Barock arbeitet oft mit dramatischen Kontrasten.;5
Wie nennt man die Lehre von der Schönheit in Kunst und Philosophie?;Ethik;Ästhetik;Logik;Grammatik;1;Literatur & Kultur;Ästhetik befasst sich mit Wahrnehmung von Schönheit.;5
Welcher Autor schrieb Buddenbrooks?;Thomas Mann;Hermann Hesse;Fontane;Goethe;0;Literatur & Kultur;Buddenbrooks ist ein Roman von Thomas Mann.;4
Welches Gebäude dient in Demokratien oft als Sitz eines Parlaments?;Krankenhaus;Parlamentsgebäude;Stadion;Museum;1;Politik & Gesellschaft;Ein Parlament tagt in einem Parlamentsgebäude.;2
Wie nennt man das Recht zu wählen?;Wahlrecht;Fahrtrecht;Druckrecht;Hausrecht;0;Politik & Gesellschaft;Das Recht zur Teilnahme an Wahlen heißt Wahlrecht.;2
Welche Institution beschließt in Deutschland Bundesgesetze mit?;Bundestag;Fußballbund;Gerichtshof von Den Haag;UNO-Sekretariat;0;Politik & Gesellschaft;Der Bundestag ist das Parlament des Bundes.;3
Wie nennt man Regeln eines Staates in ihrer Gesamtheit?;Rechtsordnung;Speiseplan;Fahrplan;Hausordnung;0;Politik & Gesellschaft;Die Gesamtheit staatlicher Regeln ist die Rechtsordnung.;4
Wofür steht Demokratie?;Herrschaft durch Militär;Herrschaft des Volkes;Herrschaft eines Königs;Herrschaft der Banken;1;Politik & Gesellschaft;Demokratie bedeutet Volksherrschaft.;2
Welches Organ spricht in Deutschland Recht?;Gericht;Bundesliga;Bundeswehr;Feuerwehr;0;Politik & Gesellschaft;Gerichte sprechen Recht.;2
Wie nennt man den Zusammenschluss vieler Staaten in Europa?;NATO nur;EU;ASEAN;Mercosur;1;Politik & Gesellschaft;In Europa ist die EU der bekannte Staatenverbund.;2
Welche Farbe hat in Deutschland häufig die Wahlurne nicht zwingend, aber oft das Formular?;Rot;Grün;Weiß;Blau;2;Politik & Gesellschaft;Stimmzettel sind oft weiß.;2
Wie nennt man eine öffentliche Meinungserhebung vor Wahlen?;Umfrage;Absturz;Abrechnung;Aufführung;0;Politik & Gesellschaft;Vor Wahlen werden oft Umfragen durchgeführt.;2
Was ist eine Verfassung?;Ein Kochbuch;Das grundlegende Regelwerk eines Staates;Ein Stundenplan;Eine Landkarte;1;Politik & Gesellschaft;Die Verfassung enthält Grundregeln des Staates.;3
Wer vertritt Bürgerinnen und Bürger im Parlament?;Abgeordnete;Torhüter;Bibliothekare;Reporter;0;Politik & Gesellschaft;Abgeordnete sitzen im Parlament.;1
Was ist ein Ministerium?;Eine Schule;Eine Behörde mit Fachaufgaben der Regierung;Ein Theater;Ein Bahnhof;1;Politik & Gesellschaft;Ministerien sind Behörden der Exekutive.;3
Wie nennt man den Wechsel von analog zu digital in Verwaltung und Alltag?;Globalisierung;Digitalisierung;Urbanisierung;Privatisierung;1;Politik & Gesellschaft;Digitalisierung beschreibt den digitalen Wandel.;2
Welche Ebene ist in Deutschland für Schulen oft zuständig?;Gemeinde nur;Bundesländer;UNO;EU-Kommission;1;Politik & Gesellschaft;Bildung ist in Deutschland Ländersache.;4
Wie nennt man das friedliche Zusammenleben vieler Kulturen?;Monokultur;Vielfalt;Isolation;Abschottung;1;Politik & Gesellschaft;Kulturelle Vielfalt beschreibt das Zusammenleben verschiedener Kulturen.;2
Was bedeutet Inflation meist?;Preise sinken dauerhaft;Preise steigen im Durchschnitt;Steuern verschwinden;Löhne werden verboten;1;Politik & Gesellschaft;Inflation bedeutet einen allgemeinen Preisanstieg.;4
Welche Einrichtung hilft bei Bränden?;Polizei;Feuerwehr;Bibliothek;Post;1;Politik & Gesellschaft;Für Brände ist die Feuerwehr zuständig.;1
Was ist ein Bürgerentscheid?;Ein Sportturnier;Eine direkte Abstimmung vor Ort;Ein Computerprogramm;Ein Fernsehpreis;1;Politik & Gesellschaft;Bei einem Bürgerentscheid stimmen Bürger direkt über eine Frage ab.;4
Wie nennt man den Schutz persönlicher Daten?;Datenschutz;Datendruck;Datenflug;Datenwelle;0;Politik & Gesellschaft;Der Schutz personenbezogener Informationen heißt Datenschutz.;2
Welche Institution überwacht in Demokratien oft die Einhaltung der Gesetze durch Gerichte?;Justiz;Orchester;Rennleitung;Wetterdienst;0;Politik & Gesellschaft;Die Justiz ist für Rechtsprechung zuständig.;3
Welches Teilchen trägt die negative elektrische Ladung?;Proton;Elektron;Neutron;Photon;1;Wissenschaft Extra;Elektronen sind negativ geladen.;3
Welches Organ filtert Blut und bildet Urin?;Herz;Leber;Niere;Lunge;2;Wissenschaft Extra;Die Niere filtert Blut und bildet Urin.;3
Welche Einheit misst elektrische Stromstärke?;Volt;Ampere;Watt;Ohm;1;Wissenschaft Extra;Stromstärke wird in Ampere gemessen.;3
Welches Element brauchen Menschen zum Atmen?;Helium;Sauerstoff;Neon;Argon;1;Wissenschaft Extra;Sauerstoff wird zum Atmen benötigt.;1
Welches Organ ist für den Gasaustausch im Körper zentral?;Milz;Lunge;Magen;Bauchspeicheldrüse;1;Wissenschaft Extra;In der Lunge findet der Gasaustausch statt.;2
Wie nennt man die kleinste Einheit eines chemischen Elements?;Molekül;Atom;Zelle;Ionengruppe;1;Wissenschaft Extra;Elemente bestehen aus Atomen.;2
Welche Kraft hält uns auf der Erde?;Magnetkraft;Gravitation;Kernkraft;Reibung;1;Wissenschaft Extra;Die Gravitation zieht uns zur Erde.;1
Welches Organ steuert Gedanken und Bewegungen?;Herz;Gehirn;Magen;Darm;1;Wissenschaft Extra;Das Gehirn steuert viele Körperfunktionen.;1
Welche Schicht der Atmosphäre umgibt die Erde direkt?;Wasserstoffring;Atmosphäre;Gesteinsschicht;Mantel;1;Wissenschaft Extra;Die Erde ist von der Atmosphäre umgeben.;2
Wie nennt man den Weg eines Planeten um die Sonne?;Spur;Orbit;Strecke;Bogenlinie;1;Wissenschaft Extra;Die Bahn eines Planeten heißt Orbit.;3
Welches Organell enthält meist die Erbinformation?;Mitochondrium;Zellkern;Ribosom;Vakuole;1;Wissenschaft Extra;Im Zellkern liegt die DNA.;4
Was misst ein Thermometer?;Masse;Temperatur;Länge;Spannung;1;Wissenschaft Extra;Ein Thermometer misst Temperatur.;1
Wie nennt man die Verbindung aus zwei Wasserstoff- und einem Sauerstoffatom?;Wasser;Salz;Ammoniak;Methan;0;Wissenschaft Extra;H2O ist Wasser.;2
Welcher Zustand ist Wasser bei 100 Grad Celsius unter Normaldruck?;Fest;Flüssig;Gasförmig;Gefroren;2;Wissenschaft Extra;Bei 100 Grad siedet Wasser zu Dampf.;3
Welche Zellen transportieren Sauerstoff im Blut?;Weiße Blutkörperchen;Rote Blutkörperchen;Nervenzellen;Muskelzellen;1;Wissenschaft Extra;Rote Blutkörperchen transportieren Sauerstoff.;3
Was ist DNA?;Ein Vitamin;Das Erbmolekül;Ein Mineral;Ein Gas;1;Wissenschaft Extra;DNA speichert genetische Information.;4
Welcher Planet ist der größte in unserem Sonnensystem?;Erde;Saturn;Jupiter;Mars;2;Wissenschaft Extra;Jupiter ist der größte Planet.;3
Wie heißt der Prozess, bei dem Pflanzen Lichtenergie in chemische Energie umwandeln?;Atmung;Photosynthese;Gärung;Verdunstung;1;Wissenschaft Extra;Pflanzen betreiben Photosynthese.;3
Welche Einheit misst Energie in der Physik?;Joule;Bar;Lux;Tesla;0;Wissenschaft Extra;Energie wird in Joule gemessen.;4
Wie nennt man Tiere mit gleichwarmer Körpertemperatur wie Vögel und Säugetiere?;Wechselwarm;Gleichwarm;Kaltwarm;Halbwarm;1;Wissenschaft Extra;Vögel und Säugetiere sind gleichwarm.;4
Bei welcher Sportart gibt es einen Elfmeter?;Basketball;Fußball;Tennis;Rugby;1;Sport Extra;Ein Elfmeter gehört zum Fußball.;1
Wie nennt man den Bereich um das Netz im Volleyball?;Torraum;Spielfeldmitte;Vorderfeld;Schlusskreis;2;Sport Extra;Das Feld ist in Vorder- und Hinterfeld geteilt.;3
Welcher Sport wird mit Schläger und Ball auf einem Tisch gespielt?;Tischtennis;Baseball;Cricket;Golf;0;Sport Extra;Tischtennis spielt man auf einer Platte.;1
Wie nennt man den Startsprung im Schwimmen?;Absprung;Abstoß;Kopfsprung;Anwurf;2;Sport Extra;Wettkämpfe beginnen oft mit einem Kopfsprung.;2
Welche Farbe trägt in vielen Radsport-Rennen der Führende?;Gelb;Braun;Pink;Schwarz;0;Sport Extra;Beim bekanntesten Rennen trägt der Führende gelb.;3
Wie viele Punkte sind ein Touchdown plus Extrapunkt im American Football normalerweise?;5;6;7;8;2;Sport Extra;Ein Touchdown mit Extrapunkt ergibt 7 Punkte.;4
Welches Gerät nutzt man beim Fechten?;Degen;Schläger;Paddel;Queue;0;Sport Extra;Mit Degen, Florett oder Säbel wird gefochten.;3
Wie nennt man den Bereich hinter der Grundlinie beim Tennis?;Auslaufzone;Bande;Mittellinie;Torraum;0;Sport Extra;Hinter der Grundlinie befindet sich die Auslaufzone.;4
Welche Sportart nutzt einen Puck?;Hockey;Eishockey;Lacrosse;Handball;1;Sport Extra;Der Puck gehört zum Eishockey.;2
Wie nennt man das Gerät beim Turnen, auf dem man schwingt und stützt?;Barren;Schläger;Seilbahn;Pult;0;Sport Extra;Der Barren ist ein Turngerät.;3
Was ist ein Marathon?;42,195 Kilometer Lauf;100 Meter Sprint;Radrennen;Triathlon;0;Sport Extra;Ein Marathon ist 42,195 Kilometer lang.;3
Welche Sportart wird auf einem Brett in Wellen ausgeübt?;Rudern;Surfen;Segeln;Klettern;1;Sport Extra;Surfen erfolgt auf Wellen.;1
Wie nennt man einen Treffer beim Kegeln, wenn alle neun Kegel fallen?;Ass;Strike;Neuner;Spare;2;Sport Extra;Beim Kegeln spricht man umgangssprachlich von allen neun Kegeln.;3
Welches Land ist für Capoeira bekannt?;Spanien;Brasilien;Kanada;Türkei;1;Sport Extra;Capoeira stammt aus Brasilien.;4
Welche Disziplin gehört zum Zehnkampf?;Schach;Speerwurf;Segeln;Karate;1;Sport Extra;Speerwurf ist eine Disziplin im Zehnkampf.;3
Wie nennt man die Führung einer Mannschaft in einer Tabelle?;Spitze;Krone;Kurve;Kette;0;Sport Extra;Die führende Mannschaft steht an der Spitze.;1
Was braucht man beim Bogenschießen zum Abschuss?;Paddel;Bogen;Helm nur;Puck;1;Sport Extra;Zum Bogenschießen braucht man einen Bogen.;1
Wie nennt man die Runde über alle Löcher beim Golf?;Set;Partie;Runde;Drive;2;Sport Extra;Im Golf spielt man eine Runde über den Platz.;2
Welches Sportgerät hat eine Kufe?;Schlittschuh;Turnschuh;Sandale;Tennisschläger;0;Sport Extra;Schlittschuhe besitzen Kufen.;1
Welche Farbe hat die Linie des Zielbands im Zielraum nicht zwingend, aber oft die Ziellinie-Markierung?;Weiß;Rot;Blau;Grün;0;Sport Extra;Ziellinien sind häufig weiß markiert.;2
Welcher Staat hat den größten Anteil am Kaspischen Meer?;Türkei;Kasachstan;Norwegen;Japan;1;Schwere Fragen - Mix;Kasachstan hat einen sehr langen Küstenanteil am Kaspischen Meer.;5
Wie heißt der mathematische Satz a² plus b² gleich c² für rechtwinklige Dreiecke?;Satz des Archimedes;Satz des Pythagoras;Binomische Formel;Goldene Regel;1;Schwere Fragen - Mix;Der Satz des Pythagoras gilt für rechtwinklige Dreiecke.;4
Welches Hormon ist besonders für die Senkung des Blutzuckerspiegels wichtig?;Adrenalin;Insulin;Testosteron;Melatonin;1;Schwere Fragen - Mix;Insulin senkt den Blutzucker.;4
Wie nennt man die Lehre von den Fossilien?;Genetik;Paläontologie;Hydrologie;Meteorologie;1;Schwere Fragen - Mix;Paläontologie beschäftigt sich mit Fossilien.;5
Welche Sprache gehört nicht zur romanischen Sprachfamilie?;Spanisch;Italienisch;Rumänisch;Schwedisch;3;Schwere Fragen - Mix;Schwedisch ist eine germanische Sprache.;4
Welches Metall ist bei Raumtemperatur flüssig?;Quecksilber;Eisen;Aluminium;Silber;0;Schwere Fragen - Mix;Quecksilber ist bei Raumtemperatur flüssig.;5
Welche Stadt war Hauptstadt des Byzantinischen Reiches?;Rom;Konstantinopel;Athen;Alexandria;1;Schwere Fragen - Mix;Konstantinopel war das Zentrum des Byzantinischen Reiches.;4
Wie nennt man in der Linguistik die kleinste bedeutungsunterscheidende Lauteinheit?;Morphem;Phonem;Satzglied;Kasus;1;Schwere Fragen - Mix;Ein Phonem unterscheidet Bedeutungen auf Lautebene.;5
Welcher Maler schuf Guernica?;Dalí;Picasso;Miró;Goya;1;Schwere Fragen - Mix;Guernica ist ein Werk von Pablo Picasso.;4
Wie heißt der Fachbegriff für Sternschnuppen?;Kometen;Meteoriten;Meteore;Planetoiden;2;Schwere Fragen - Mix;Leuchterscheinungen in der Atmosphäre heißen Meteore.;5
Welche Zahl folgt logisch auf 2, 4, 6, 8?;9;10;11;12;1;Logik;Die Folge steigt jeweils um 2.;1
Was passt nicht in die Reihe Apfel, Birne, Banane, Karotte?;Apfel;Birne;Banane;Karotte;3;Logik;Karotte ist kein Obst.;1
Welches Wort ist ein Tier?;Stuhl;Lampe;Tiger;Fenster;2;Logik;Tiger ist ein Tier.;1
Was ist morgens, mittags und abends gleich lang?;Der Schatten;Eine Minute;Ein Kilometer;Ein Blatt Papier;1;Logik;Eine Minute bleibt immer gleich lang.;2
Welche Zahl ist die kleinste?;0;1;2;3;0;Logik;0 ist die kleinste Zahl in der Auswahl.;1
Welches Paar gehört zusammen?;Schlüssel und Schloss;Löffel und Schuh;Buch und Regen;Kissen und Fahrrad;0;Logik;Ein Schlüssel passt zu einem Schloss.;1
Wenn alle Katzen Tiere sind, ist dann jede Katze ein Tier?;Nein;Nur manchmal;Ja;Nur nachts;2;Logik;Wenn alle Katzen Tiere sind, gehört jede Katze dazu.;2
Welches Wort ist das Gegenteil von offen?;weit;geschlossen;fröhlich;schnell;1;Logik;Das Gegenteil von offen ist geschlossen.;1
Welche Form hat genau drei Ecken?;Kreis;Quadrat;Dreieck;Rechteck;2;Logik;Ein Dreieck hat drei Ecken.;1
Was ist schwerer: 1 Kilogramm Federn oder 1 Kilogramm Eisen?;Federn;Eisen;Beides gleich schwer;Kommt auf die Farbe an;2;Logik;1 Kilogramm ist immer gleich schwer.;2
Welche Zahl fehlt: 5, 10, 15, ?, 25;18;19;20;21;2;Logik;Die Folge steigt jeweils um 5.;1
Welches Wort ist am kürzesten?;Haus;Auto;Igel;Elefant;0;Logik;Haus hat vier Buchstaben und ist hier am kürzesten.;2
Wenn heute Montag ist, welcher Tag ist morgen?;Sonntag;Dienstag;Mittwoch;Freitag;1;Logik;Auf Montag folgt Dienstag.;1
Welches Objekt rollt am ehesten?;Würfel;Ball;Buch;Schrank;1;Logik;Ein Ball rollt am ehesten.;1
Welche Zahl ist gerade?;7;9;12;15;2;Logik;12 ist eine gerade Zahl.;1
Welches Tier passt am besten zu Flügeln?;Fisch;Vogel;Wurm;Schlange;1;Logik;Flügel verbindet man am ehesten mit Vögeln.;1
Wenn du drei Äpfel hast und einen abgibst, wie viele bleiben?;1;2;3;4;1;Logik;3 minus 1 ergibt 2.;1
Welche Farbe hat eine Ampel nicht?;Rot;Gelb;Grün;Lila;3;Logik;Lila gehört nicht zur üblichen Ampel.;1
Welches Wort gehört zur Schule?;Tafel;Anker;Wolke;Garage;0;Logik;Eine Tafel gehört zur Schule.;1
Was ist das Gegenteil von langsam?;leise;alt;schnell;kalt;2;Logik;Das Gegenteil von langsam ist schnell.;1
Welche Zahl kommt nach 99?;100;101;98;109;0;Logik;Auf 99 folgt 100.;1
